metric,summary_run_count
Curriculum/command_vel/ang_vel_z_max,36
Curriculum/command_vel/ang_vel_z_min,36
Curriculum/command_vel/lin_vel_x_max,36
Curriculum/command_vel/lin_vel_x_min,36
Curriculum/command_vel/lin_vel_y_max,36
Curriculum/command_vel/lin_vel_y_min,36
Curriculum/fell_over_limit_angle/limit_angle,8
Curriculum/terrain_levels/boxes,5
Curriculum/terrain_levels/discrete_obstacles,63
Curriculum/terrain_levels/flat,65
Curriculum/terrain_levels/hf_pyramid_slope,68
Curriculum/terrain_levels/hf_pyramid_slope_inv,11
Curriculum/terrain_levels/max,70
Curriculum/terrain_levels/mean,70
Curriculum/terrain_levels/pyramid_stair,63
Curriculum/terrain_levels/pyramid_stair_inv,63
Curriculum/terrain_levels/random_rough,68
Curriculum/terrain_levels/random_spread,5
Curriculum/terrain_levels/random_stairs,5
Curriculum/terrain_levels/stepping_stones,9
Curriculum/terrain_levels/tilted_grid,5
Episode_Metrics/mean_action_acc,75
Episode_Reward/action_rate,75
Episode_Reward/alive,74
Episode_Reward/base_ang_vel_xy,12
Episode_Reward/base_height,75
Episode_Reward/corridor_along_lag,1
Episode_Reward/corridor_cross_track,1
Episode_Reward/corridor_heading,1
Episode_Reward/corridor_lateral_return,1
Episode_Reward/flat_orientation,75
Episode_Reward/heading_progress,7
Episode_Reward/illegal_ground_contact,75
Episode_Reward/joint_acc,75
Episode_Reward/joint_power,75
Episode_Reward/leg_action_smoothness,1
Episode_Reward/leg_joint_pos_limits,75
Episode_Reward/leg_joint_torque,5
Episode_Reward/leg_joint_vel,75
Episode_Reward/non_rough_flat_orientation,5
Episode_Reward/non_rough_wheel_lateral_symmetry,25
Episode_Reward/non_rough_wheel_x_alignment,25
Episode_Reward/pose,75
Episode_Reward/rough_ang_vel_xy_l2,2
Episode_Reward/rough_contact_pattern,43
Episode_Reward/rough_foot_clearance,12
Episode_Reward/rough_lin_vel_z_l2,2
Episode_Reward/rough_wheel_foot_clearance,37
Episode_Reward/rough_wheel_foot_landing_vel,1
Episode_Reward/rough_wheel_foot_regulation,1
Episode_Reward/rough_wheel_usage,49
Episode_Reward/self_collisions,75
Episode_Reward/soft_landing,75
Episode_Reward/stand_still,75
Episode_Reward/standing_forward_wheel_air_time,11
Episode_Reward/track_angular_velocity,75
Episode_Reward/track_heading,12
Episode_Reward/track_linear_velocity,75
Episode_Reward/track_world_course_heading,1
Episode_Reward/track_world_velocity_direction,1
Episode_Reward/upright,75
Episode_Reward/velocity_error_smoothness,1
Episode_Reward/wheel_air_time_balance,17
Episode_Reward/wheel_distance,75
Episode_Reward/wheel_joint_vel,75
Episode_Reward/wheel_lateral_symmetry,6
Episode_Reward/wheel_x_alignment,6
Episode_Reward/world_course_lateral_deviation,1
Episode_Termination/corridor_deviation,1
Episode_Termination/fell_over,75
Episode_Termination/illegal_contact,75
Episode_Termination/non_finite_physics,64
Episode_Termination/out_of_terrain_bounds,70
Episode_Termination/time_out,75
Episode_Termination/velocity_direction_deviation,15
Episode_Termination/world_command_tracking_failure,5
Episode_Termination/world_course_deviation,1
Grad/dynamics_total_norm,5
Grad/ppo_joint_clip_fraction,5
Grad/ppo_joint_total_norm,5
Grad/ppo_total_norm,5
Grad/predictor_clip_fraction,5
Grad/predictor_total_norm,5
Grad/privileged_encoder_dynamics_norm,5
Grad/privileged_encoder_dynamics_to_ppo_ratio,5
Grad/privileged_encoder_ppo_dynamics_cosine,5
Grad/privileged_encoder_ppo_norm,5
Loss/Learning/ppo_lr,5
Loss/Learning/predictor_lr,5
Loss/depth_ae_buffer_size,1
Loss/depth_ae_reconstruction,1
Loss/entropy,75
Loss/latent_direct_rollout_cosine_k5,5
Loss/latent_direct_rollout_mse_k5,5
Loss/latent_direct_rollout_velocity_loss_k5,5
Loss/latent_dynamics_loss,5
Loss/latent_dynamics_loss_k1,5
Loss/latent_dynamics_loss_k10,5
Loss/latent_dynamics_loss_k5,5
Loss/latent_dynamics_representation_loss,5
Loss/latent_dynamics_representation_loss_k1,5
Loss/latent_dynamics_representation_loss_k10,5
Loss/latent_dynamics_representation_loss_k5,5
Loss/latent_dynamics_valid_fraction,5
Loss/latent_dynamics_valid_fraction_k1,5
Loss/latent_dynamics_valid_fraction_k10,5
Loss/latent_dynamics_valid_fraction_k5,5
Loss/latent_dynamics_velocity_loss,5
Loss/latent_dynamics_velocity_loss_k1,5
Loss/latent_dynamics_velocity_loss_k10,5
Loss/latent_dynamics_velocity_loss_k5,5
Loss/latent_identity_loss,5
Loss/latent_identity_loss_k1,5
Loss/latent_identity_loss_k10,5
Loss/latent_identity_loss_k5,5
Loss/latent_prediction_cosine_similarity,5
Loss/latent_prediction_cosine_similarity_k1,5
Loss/latent_prediction_cosine_similarity_k10,5
Loss/latent_prediction_cosine_similarity_k5,5
Loss/latent_prediction_identity_ratio,5
Loss/latent_prediction_identity_ratio_k1,5
Loss/latent_prediction_identity_ratio_k10,5
Loss/latent_prediction_identity_ratio_k5,5
